name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barranquilla,2024-03-18,34.9,26.5,28.9,44.7,26.5,33.2,24.5,77.8,0,35.5,0,,0,0,45,26.3,30,1006.4,39.8,15.9,294.2,25.5,10,30,2024-03-18T06:04:18,2024-03-18T18:10:14,0.28,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,"SKBQ,SKSM"
barranquilla,2024-03-19,34.5,26.2,28.6,39.3,26.2,30.8,23.8,76.8,0.6,61.3,20.83,rain,0,0,35.6,23,38.4,1007.7,76.9,23.2,263.3,22.8,9,30,2024-03-19T06:03:42,2024-03-19T18:10:14,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
barranquilla,2024-03-20,31.4,26,27.8,36.3,26,30.1,23.8,79.8,3.8,25.8,25,rain,0,0,54,33.5,39.8,1008.6,89.2,22.9,239.8,20.7,9,30,2024-03-20T06:03:06,2024-03-20T18:10:15,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-21,30.9,26.1,27.9,34.9,26.1,29.6,23.1,75.9,0.2,3.2,8.33,rain,0,0,53.6,34.9,41.8,1009,33.3,24.1,290.4,25,10,30,2024-03-21T06:02:30,2024-03-21T18:10:15,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-22,32.1,26.1,28.1,35.6,26.1,30,22.6,73.2,0,0,0,,0,0,48.6,30.2,40.3,1008.3,80.6,24.1,284.7,24.5,10,10,2024-03-22T06:01:53,2024-03-22T18:10:16,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-23,30.6,26.4,27.8,33.9,26.4,29.4,22.6,74,0.2,3.2,4.17,rain,0,0,38.9,25.6,45.4,1008.6,85.7,24.1,266.1,23.1,9,10,2024-03-23T06:01:17,2024-03-23T18:10:16,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-24,30.2,26.2,27.7,33.9,26.2,29.2,22.4,73.5,4.2,3.2,16.67,rain,0,0,34.9,21.2,36.6,1008.5,48.1,24.1,272.3,24,9,30,2024-03-24T06:00:40,2024-03-24T18:10:17,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-25,30.8,25.8,27.7,33.9,25.8,29,22.4,73.7,0,0,0,,0,0,33.8,19.8,34.3,1008.8,66,24.1,256.8,22.2,9,10,2024-03-25T06:00:04,2024-03-25T18:10:17,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-26,30.9,25.8,27.6,34.5,25.8,29.1,22.7,75.4,0.1,0,4.17,rain,0,0,34.6,21.2,19.7,1009.6,69.8,24.1,260.6,22.5,9,30,2024-03-26T05:59:27,2024-03-26T18:10:17,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-27,32.3,25.1,28,34.1,25.1,29.1,21.5,69.1,0,0,0,,0,0,18.7,17.6,343.3,1011,85.5,24.1,277.1,24,10,10,2024-03-27T05:58:51,2024-03-27T18:10:17,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-28,31.4,25.4,27.5,33.3,25.4,28.4,21.4,70.3,0,0,0,,0,0,26.3,18,15.5,1011.6,55.9,24.1,286.5,24.9,10,10,2024-03-28T05:58:15,2024-03-28T18:10:18,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-03-29,29.8,25.5,27,31.9,25.5,27.9,21.4,72,0,6.5,0,,0,0,47.9,28.4,20.2,1011.3,18.6,24.1,284.3,24.6,10,10,2024-03-29T05:57:38,2024-03-29T18:10:18,0.65,Clear,Clear conditions throughout the day.,clear-day,
barranquilla,2024-03-30,30.4,25.6,27.3,33,25.6,28.5,21.9,73.2,0.1,3.2,4.17,rain,0,0,54.7,35.6,33.5,1010.2,40.4,24.1,264.1,22.8,8,10,2024-03-30T05:57:02,2024-03-30T18:10:18,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
barranquilla,2024-03-31,30.4,25.9,27.5,33.3,25.9,28.7,22,72.3,0,0,0,,0,0,51.5,33.5,36.7,1008.8,30.5,24.1,283.6,24.6,10,10,2024-03-31T05:56:26,2024-03-31T18:10:19,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
barranquilla,2024-04-01,30.9,26,27.7,33.8,26,29.6,22.3,73,0,0,0,,0,0,53.6,32.8,38.5,1008.8,88,24.1,260.3,22.8,9,30,2024-04-01T05:55:50,2024-04-01T18:10:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
